vehicleId,stationName,lineId,lineName,direction,timeToStation,towards
LTZ1168,Brixton Station,159,159,inbound,310,Streatham Hill
LTZ1609,Loughborough Road,159,159,outbound,1300,Kennington Oval
LTZ1682,Kingscourt Road,159,159,inbound,506,"Mitcham, Norbury Or Tooting"
LTZ1682,New Park Road,159,159,inbound,149,Clapham Park Or Streatham
LTZ1685,St Mark's Church,159,159,outbound,319,"Elephant & Castle, Lambeth Bdg Or Lambeth Nth"
LTZ1639,Kingscourt Road,159,159,inbound,130,"Mitcham, Norbury Or Tooting"
LTZ1030,St Leonard's Church,159,159,outbound,328,"Balham, Streatham Hill Or Tooting"
LTZ1040,Streatham Hill Stn  / Streatham Hill,159,159,inbound,1388,"Crystal Palace, Norbury Or Tooting"
LTZ1609,Blenheim Gardens,159,159,outbound,717,Camberwell Or Kennington Church
LTZ1461,Lambeth North Station,159,159,outbound,1606,Westminster Or Waterloo
LTZ1609,St Mark's Church,159,159,outbound,1568,"Elephant & Castle, Lambeth Bdg Or Lambeth Nth"
LTZ1168,Becmead Avenue,159,159,inbound,1112,Norbury
LTZ1030,Becmead Avenue,159,159,outbound,491,Brixton Or Tulse Hill
LTZ1639,Becmead Avenue,159,159,outbound,1579,Brixton Or Tulse Hill
LTZ1608,Kennington Park Post Office,159,159,outbound,681,Parliament Square Or Waterloo
LTZ1160,Kennington Road / Imperial War Museum,159,159,inbound,251,Brixton Or Pimlico
LTZ1030,Streatham Station,159,159,outbound,229,Pollards Hill Or Streatham Hill
LTZ1609,Christchurch Road,159,159,outbound,450,Brixton Or Clapham Common
LTZ1685,Vassall Road,159,159,outbound,239,Elephant & Castle Or Imperial War Museum
LTZ1461,Fitzalan Street,159,159,outbound,1441,Parliament Square Or Waterloo
LTZ1682,Streatham Hill / Christchurch Road,159,159,inbound,318,"Crystal Palace, Norbury Or Tooting"
LTZ1461,Villa Road,159,159,outbound,691,Elephant & Castle Or Imperial War Museum
LTZ1639,Streatham Station,159,159,inbound,438,null
LTZ1034,Rush Common,159,159,inbound,1474,Clapham Park Or Streatham
LTZ1685,Kennington Road / Imperial War Museum,159,159,outbound,734,Waterloo Or Parliament Sq Via Westminster Bridge
LTZ1639,Becmead Avenue,159,159,inbound,171,Norbury
LTZ1019,Kennington Lane,159,159,outbound,77,Parliament Square
LTZ1032,New Park Road,159,159,outbound,1646,Camberwell Or Kennington Church
LTZ1608,Villa Road,159,159,outbound,285,Elephant & Castle Or Imperial War Museum
LTZ1685,Kennington Lane,159,159,outbound,671,Parliament Square
LTZ1040,Leigham Court Road,159,159,inbound,1581,Norbury
LTZ1685,Groveway,159,159,outbound,107,Elephant & Castle Or Imperial War Museum
LTZ1040,New Park Road,159,159,inbound,1176,Clapham Park Or Streatham
LTZ1609,New Park Road,159,159,outbound,572,Camberwell Or Kennington Church
LTZ1034,Windmill Row,159,159,inbound,149,Brixton
LTZ1609,Windmill Row,159,159,outbound,1831,Parliament Square Or Waterloo
LTZ1461,Groveway,159,159,outbound,787,Elephant & Castle Or Imperial War Museum
LTZ1608,Hillyard Street,159,159,outbound,429,Elephant & Castle Or Imperial War Museum
LTZ1608,Brixton Road / Brixton Police Station,159,159,outbound,229,Lambeth Bridge Or Lambeth North
LTZ1040,Jebb Avenue / Brixton Prison,159,159,inbound,1094,Clapham Park Or Streatham
LTZ1160,Kennington Lane,159,159,inbound,384,Brixton
LTZ1160,Loughborough Road,159,159,inbound,1042,"Herne Hill, Streatham Hill Or Tulse Hill"
LTZ1609,Groveway,159,159,outbound,1379,Elephant & Castle Or Imperial War Museum
LTZ1639,St Leonard's Church,159,159,inbound,329,"Crystal Palace, Norbury Or Pollards Hill"
LTZ1639,Leigham Court Road,159,159,inbound,39,Norbury
LTZ1639,Mount Ephraim Road,159,159,outbound,1703,"Clapham Common, Brixton Or Tulse Hill"
