$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,tripId,baseVersion,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing.$type,timing.countdownServerAdjustment,timing.source,timing.insert,timing.read,timing.sent,timing.received
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",2121953009,1,LTZ1682,490009076F,Leigham Court Road,159,159,F,inbound,197,664,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1103,,Norbury,2026-02-07T16:09:59Z,2026-02-07T16:10:29Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0986879,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",585985784,1,LTZ1682,490000031P,Brixton Station,159,159,P,inbound,196,664,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,213,,Streatham Hill,2026-02-07T15:55:09Z,2026-02-07T15:55:39Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0844931,2026-02-06T22:34:22.192Z,2026-02-07T15:51:42.6Z,2026-02-07T15:51:38.802Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-2006806294,1,LTZ1608,490000031R,Brixton Station,159,159,R,outbound,15,502,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,631,,Kennington Oval,2026-02-07T16:02:07Z,2026-02-07T16:02:37Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0616296,2026-02-06T22:34:22.192Z,2026-02-07T15:51:23.337Z,2026-02-07T15:51:19.252Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-342373393,1,LTZ1608,490007523D,Brixton Road / Brixton Police Station,159,159,D,outbound,17,502,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,797,,Lambeth Bridge Or Lambeth North,2026-02-07T16:04:53Z,2026-02-07T16:05:23Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.1067295,2026-02-06T22:34:22.192Z,2026-02-07T15:51:53.356Z,2026-02-07T15:51:49.29Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-854839450,1,LTZ1682,490004362S1,Brixton Water Lane,159,159,BB,inbound,200,664,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,453,,Clapham Park Or Streatham,2026-02-07T15:59:09Z,2026-02-07T15:59:39Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0844931,2026-02-06T22:34:22.192Z,2026-02-07T15:51:42.812Z,2026-02-07T15:51:38.802Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-754840411,1,LTZ1682,490008765L,Kingscourt Road,159,159,L,inbound,182,664,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1149,,"Mitcham, Norbury Or Tooting",2026-02-07T16:10:45Z,2026-02-07T16:11:15Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0621175,2026-02-06T22:34:22.192Z,2026-02-07T15:51:53.356Z,2026-02-07T15:51:49.29Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1844523058,1,LTZ1030,490012761SQ,St Leonard's Church,159,159,SK,outbound,0,595,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,971,,"Balham, Streatham Hill Or Tooting",2026-02-07T16:07:47Z,2026-02-07T16:08:17Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0687663,2026-02-06T22:34:22.192Z,2026-02-07T15:51:53.356Z,2026-02-07T15:51:49.29Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-858497402,1,LTZ1019,490007587N,Groveway,159,159,RC,outbound,358,485,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,165,,Elephant & Castle Or Imperial War Museum,2026-02-07T15:54:21Z,2026-02-07T15:54:51Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0785562,2026-02-06T22:34:22.192Z,2026-02-07T15:51:33.338Z,2026-02-07T15:51:29.253Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1661040410,1,LTZ1609,490004101N,Blenheim Gardens,159,159,BW,outbound,19,570,20260130,,"Lambeth North, Lower Marsh",2026-02-07 15:51:36.802987200+00:00,1360,,Camberwell Or Kennington Church,2026-02-07T16:14:16Z,2026-02-07T16:14:46Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0882917,2026-02-06T22:34:22.192Z,2026-02-07T15:51:23.337Z,2026-02-07T15:51:19.252Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-629411125,1,LTZ1168,490003758N,Becmead Avenue,159,159,N,inbound,204,694,20260130,,Streatham Station,2026-02-07 15:51:36.802987200+00:00,1755,,Norbury,2026-02-07T16:20:51Z,2026-02-07T16:21:21Z,bus,"Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities",-00:00:04.0830858,2026-02-06T22:34:22.192Z,2026-02-07T15:52:03.38Z,2026-02-07T15:51:59.313Z,2026-02-07T15:51:36Z,0001-01-01T00:00:00Z
